veiculos,emergencia,hora_pico,tempo_ideal
0,0,0,10
0,0,1,15
0,1,0,45
0,1,1,45
1,0,0,10
1,0,1,15
1,1,0,45
1,1,1,45
2,0,0,10
2,0,1,15
2,1,0,45
2,1,1,45
3,0,0,10
3,0,1,15
3,1,0,45
3,1,1,45
4,0,0,10
4,0,1,15
4,1,0,45
4,1,1,45
5,0,0,10
5,0,1,15
5,1,0,45
5,1,1,45
6,0,0,20
6,0,1,25
6,1,0,45
6,1,1,45
7,0,0,20
7,0,1,25
7,1,0,45
7,1,1,45
8,0,0,20
8,0,1,25
8,1,0,45
8,1,1,45
9,0,0,20
9,0,1,25
9,1,0,45
9,1,1,45
10,0,0,20
10,0,1,25
10,1,0,45
10,1,1,45
11,0,0,20
11,0,1,25
11,1,0,45
11,1,1,45
12,0,0,20
12,0,1,25
12,1,0,45
12,1,1,45
13,0,0,20
13,0,1,25
13,1,0,45
13,1,1,45
14,0,0,20
14,0,1,25
14,1,0,45
14,1,1,45
15,0,0,20
15,0,1,25
15,1,0,45
15,1,1,45
16,0,0,34
16,0,1,39
16,1,0,45
16,1,1,45
17,0,0,34
17,0,1,39
17,1,0,45
17,1,1,45
18,0,0,34
18,0,1,39
18,1,0,45
18,1,1,45
19,0,0,34
19,0,1,39
19,1,0,45
19,1,1,45
20,0,0,34
20,0,1,39
20,1,0,45
20,1,1,45
21,0,0,34
21,0,1,39
21,1,0,45
21,1,1,45
22,0,0,34
22,0,1,39
22,1,0,45
22,1,1,45
23,0,0,34
23,0,1,39
23,1,0,45
23,1,1,45
24,0,0,34
24,0,1,39
24,1,0,45
24,1,1,45
25,0,0,34
25,0,1,39
25,1,0,45
25,1,1,45
26,0,0,45
26,0,1,45
26,1,0,45
26,1,1,45
27,0,0,45
27,0,1,45
27,1,0,45
27,1,1,45
28,0,0,45
28,0,1,45
28,1,0,45
28,1,1,45
29,0,0,45
29,0,1,45
29,1,0,45
29,1,1,45
30,0,0,45
30,0,1,45
30,1,0,45
30,1,1,45
31,0,0,45
31,0,1,45
31,1,0,45
31,1,1,45
32,0,0,45
32,0,1,45
32,1,0,45
32,1,1,45
33,0,0,45
33,0,1,45
33,1,0,45
33,1,1,45
34,0,0,45
34,0,1,45
34,1,0,45
34,1,1,45
35,0,0,45
35,0,1,45
35,1,0,45
35,1,1,45
36,0,0,45
36,0,1,45
36,1,0,45
36,1,1,45
37,0,0,45
37,0,1,45
37,1,0,45
37,1,1,45
38,0,0,45
38,0,1,45
38,1,0,45
38,1,1,45
39,0,0,45
39,0,1,45
39,1,0,45
39,1,1,45
40,0,0,45
40,0,1,45
40,1,0,45
40,1,1,45
